DOY,Station,mean_dN,mean_dE,mean_dH
101,IITK,0.0,0.0,0.0
101,MANI,0.12615958,0.0020635659,0.4063243
102,IITK,0.0,0.0,0.0
102,MANI,0.12368642,0.0059504174,0.40620255
103,DHAN,-0.020369031,-0.03501622,0.54323274
103,IITK,0.0,0.0,0.0
103,MANI,0.12417544,0.016075537,0.38726342
104,IITK,0.0,0.0,0.0
104,MANI,0.12166272,0.023343947,0.39484775
105,IITK,0.0,0.0,0.0
105,MANI,0.11758994,0.017928639,0.40100956
105,ROPA,0.075578876,0.16392922,0.45826519
106,DHAN,-0.04786633,0.020933667,0.041810051
106,IITK,0.0,0.0,0.0
106,MANI,0.088180438,0.023238724,-0.081623651
106,ROPA,0.10972122,0.13969973,-0.016568394
124,BOMB,0.014540798,0.018611312,0.023416052
124,DHAN,-0.049155839,0.023641834,0.054463699
124,IITK,0.0,0.0,0.0
124,MANI,0.0017071549,0.0082725026,0.011050218
124,ROPA,0.0077008498,-0.013569633,-0.017776746
124,TRIV,-0.00046954714,-0.0063581616,-0.017638613
126,BOMB,0.0043208841,0.014724365,-0.00020603514
126,DHAN,-0.047178619,0.01964296,0.045676317
126,IITK,0.0,0.0,0.0
126,MANI,0.0012911352,0.0035824629,0.00092033052
126,ROPA,-0.0015709525,-0.0097170174,-0.032119133
126,TRIV,0.0014073112,-0.0044759084,0.00054795528
128,BOMB,-0.0042811595,-0.0077401325,-0.013306005
128,IITK,0.0,0.0,0.0
128,MANI,-0.0022387153,0.001790156,0.010341285
128,ROPA,-0.00045705558,-0.011550336,-0.019005148
128,TRIV,-0.0026438476,-0.039189566,-0.0063980385
134,BOMB,0.21396288,-0.069047987,0.2257406
134,IITK,0.0,0.0,0.0
134,MANI,0.11202858,0.012297898,0.36301899
134,ROPA,0.080774017,0.14815067,0.43945625
134,TRIV,0.19309676,-0.28242221,0.14961368
135,BOMB,0.22625307,-0.038505854,0.282900155
135,IITK,0.0,0.0,0.0
135,MANI,0.12230254,0.035082084,0.40616427
135,ROPA,0.0814428815,0.18186021,0.467561455
135,TRIV,0.209714485,-0.218413335,0.22343217999999998
136,BOMB,0.15523316,-0.099401385,-0.16867141
136,IITK,0.0,0.0,0.0
136,MANI,0.085877217,0.0029212432,-0.072694443
136,ROPA,0.12196215,0.12454288,-0.00034646713
136,TRIV,0.065649062,-0.24494851,-0.21644777
137,BOMB,0.0012484635,0.014727473,0.025492489
137,IITK,0.0,0.0,0.0
137,MANI,-0.0044144066,0.0064894846,0.010438163
137,ROPA,-0.00017937252,0.0026426178,0.0043812054
137,TRIV,-0.013081257,-0.018478502,2.6710168e-05
138,BOMB,0.00022677386,0.023232145,0.022393249
138,IITK,0.0,0.0,0.0
138,MANI,-0.0040108436,0.016880747,0.021290142
138,ROPA,0.0031476214,-0.00095746428,0.0048222719
138,TRIV,-0.015058712,-0.033204958,-0.01468121
139,BOMB,0.0012841496,0.0043515065,0.002706635
139,IITK,0.0,0.0,0.0
139,MANI,-0.0036126762,-0.001963007,6.9807109e-05
139,ROPA,0.0088391984,0.0020108605,-0.01056369
139,TRIV,-0.01827243,-0.023634013,-0.0078043798
140,BOMB,-0.0013500538,0.0018319471,-0.0037272656
140,IITK,0.0,0.0,0.0
140,MANI,-0.0040290258,0.0052046222,-0.0018248718
140,ROPA,0.0019879721,-0.011982829,0.0042284145
140,TRIV,-0.018006977,-0.027444534,-0.026114617
141,BOMB,-0.0004672496,0.014300055,0.0022380154
141,IITK,0.0,0.0,0.0
141,MANI,-0.0039756401,0.011402099,-0.0056129149
141,ROPA,0.0045810002,-0.0055511505,0.0051509738
141,TRIV,-0.015798137,-0.012974307,-0.044118553
142,BOMB,-0.0023101629,0.0085356943,0.00092184439
142,IITK,0.0,0.0,0.0
142,MANI,-0.0053371023,0.010164957,-0.00042479477
142,ROPA,0.00080645131,-0.0076787663,0.014525574
142,TRIV,-0.014178263,-0.0098005924,0.0016071831
143,BOMB,-0.0018031141,0.013923961,-5.4016175e-05
143,IITK,0.0,0.0,0.0
143,MANI,-0.0046917275,0.01154611,0.012436084
143,ROPA,0.0032129481,-0.0070062233,0.0024576546
143,TRIV,-0.01794648,-0.0022926885,-0.04192673
144,BOMB,-0.0046848143,0.0093872994,-0.0068671224
144,IITK,0.0,0.0,0.0
144,MANI,-0.0030591269,0.019652152,-0.012580075
144,ROPA,0.0063180178,-0.0071827872,0.0062232134
144,TRIV,-0.018660214,-0.019923005,-0.005899353
145,BOMB,-0.010459303,0.0049833748,-0.015435257
145,IITK,0.0,0.0,0.0
145,MANI,-0.0078311916,-0.0025607927,-0.0039747707
145,ROPA,0.0031231451,-0.0038671826,0.001914573
145,TRIV,-0.029168898,-0.02669595,-0.010212156
146,BOMB,-0.0035167371,0.013755564,-0.0027905947
146,IITK,0.0,0.0,0.0
146,MANI,-0.0069865142,0.013040544,0.00611798
146,ROPA,0.0069111227,-0.0052748355,0.0048047495
146,TRIV,-0.020744741,-0.016522,-0.025660206
147,BOMB,0.00026680654,0.0082546631,0.022216076
147,IITK,0.0,0.0,0.0
147,MANI,-0.0044568735,0.016056154,0.018973578
147,ROPA,0.0014228105,-0.0068782163,-0.001548533
147,TRIV,-0.014146249,-0.0088163326,0.01571881
148,BOMB,-0.0015695489,0.0067611821,0.005077437
148,IITK,0.0,0.0,0.0
148,MANI,-0.0035994339,0.011176424,0.0059284517
148,ROPA,0.0023788917,0.00085728179,-0.00033492732
148,TRIV,-0.020911738,-0.048037082,-0.027850918
149,BOMB,0.002549046,0.0088325227,0.0057316981
149,IITK,0.0,0.0,0.0
149,MANI,-0.0021027336,0.0080187637,0.0053255106
149,ROPA,0.0079822037,0.002492137,0.0033795396
149,TRIV,-0.01685746,-0.0147125,-0.020393591
150,BOMB,7.4837502e-05,0.017940151,0.0027084267
150,IITK,0.0,0.0,0.0
150,MANI,-0.0047958912,0.0080016302,-0.0040808637
150,ROPA,0.0059144208,-0.0035927384,0.0041859183
150,TRIV,-0.018531488,-0.0011494478,-0.0090765767
151,BOMB,0.00074402167,0.011827802,-0.011788961
151,IITK,0.0,0.0,0.0
151,MANI,-0.0050410451,0.013577698,0.010114797
151,ROPA,0.0055791382,-0.0083491113,-0.0037747708
151,TRIV,-0.0050660162,-0.0078593781,-0.014907317
152,BOMB,0.0083015924,0.0053669359,-0.004095084
152,IITK,0.0,0.0,0.0
152,MANI,0.00049841788,0.0033309571,0.0043343096
152,ROPA,0.0090332562,-0.0047418475,-0.014780563
152,TRIV,-0.017993644,-0.038339328,-0.053955216
153,BOMB,-0.00085182686,0.0030219913,0.0037139049
153,IITK,0.0,0.0,0.0
153,MANI,-0.00093917368,0.0078693116,0.0076341312
153,ROPA,0.00778489,-0.0045305807,-0.0032206667
153,TRIV,-0.016532203,-0.032599166,-0.0036075902
154,BOMB,-0.0032744098,0.015773611,0.017764499
154,IITK,0.0,0.0,0.0
154,MANI,-0.0045626219,0.011550187,-0.0050797164
154,ROPA,0.0063555203,-0.003789552,0.0061853654
154,TRIV,-0.018192982,-0.013818054,-0.013000725
155,BOMB,-0.0032499195,0.0068629808,0.003698542
155,IITK,0.0,0.0,0.0
155,MANI,-0.0025584793,0.010177889,0.0016403332
155,ROPA,0.0035202077,-0.011506878,-0.0088434424
155,TRIV,-0.016403835,-0.038396426,-0.028716139
156,BOMB,-0.0027292529,-0.0048220828,-0.014386918
156,IITK,0.0,0.0,0.0
156,MANI,0.0020965275,0.011007022,-0.0096334759
156,ROPA,0.013948516,0.0012121506,-0.0076050367
156,TRIV,-0.020012908,-0.032016955,-0.03315717
157,BOMB,0.00084674224,0.0064899623,-0.017855745
157,IITK,0.0,0.0,0.0
157,MANI,-0.0044899695,0.0082362518,-0.0068244091
157,ROPA,0.0050888225,0.0076904572,0.013591039
157,TRIV,-0.026456406,-0.0046396572,-0.057618704
